n_total,n_control,n_treatment,rate_control,rate_treatment,difference_pp,pvalue
4509,2257,2252,0.18741692512184316,0.18206039076376554,-0.5356534358077619,0.6430717877317164
9018,4460,4558,0.19192825112107623,0.1763931548924967,-1.5535096228579515,0.057011430454412815
13528,6728,6800,0.196640903686088,0.17441176470588235,-2.2229138980205647,0.0008811834420710154
18037,8967,9070,0.19817107170737147,0.1762954796030871,-2.187559210428436,0.0001658500141911984
22547,11266,11281,0.1946564885496183,0.17870756138640193,-1.5948927163216386,0.0021188571337393816
27056,13431,13625,0.1964857419402874,0.1796697247706422,-1.6816017169645203,0.0004008927351393097
31566,15720,15846,0.19580152671755724,0.17878328915814717,-1.7018237559410065,0.00010653777046220953
36075,17966,18109,0.19436713792719582,0.17968965707659176,-1.4677480850604052,0.0003504507454195544
40585,20181,20404,0.19330062930479164,0.1784944128602235,-1.4806216444568143,0.00012608274287797316
45094,22419,22675,0.19305053749052142,0.17931642778390297,-1.3734109706618454,0.00017932882095906305
49603,24688,24915,0.19171257290991575,0.18041340557896848,-1.1299167330947268,0.0012231238858195304
54113,26960,27153,0.1925074183976261,0.1810849629875152,-1.1422455410110914,0.0006522953300329092
58622,29215,29407,0.1924696217696389,0.18131737341449314,-1.1152248355145749,0.0005333426353833609
63132,31440,31692,0.19255725190839695,0.18108670957970466,-1.1470542328692295,0.00021787354183060612
67641,33651,33990,0.19170306974532703,0.18137687555163284,-1.0326194193694183,0.0005662207526609353
72151,35887,36264,0.19221445091537326,0.18141958967571145,-1.0794861239661806,0.00019934260686737285
76660,38131,38529,0.19144528074270278,0.1807469698149446,-1.0698310927758192,0.00014140870663592202
81170,40307,40863,0.19073610042920586,0.18111739226194845,-0.9618708167257406,0.0004281469580223297
85679,42477,43202,0.19078560161970007,0.18177399194481736,-0.9011609674882709,0.0007047544402098042
90189,44700,45489,0.19020134228187918,0.18200004396667327,-0.8201298315205913,0.001554249975614329
